city,state,latitude,longitude,population,source_name
ABBEVILLE,AL,31.57184,-85.25049,2620,Abbeville
ABBEVILLE,SC,34.17817,-82.37901,5191,Abbeville
ABBOTSFORD,WI,44.94636,-90.31597,2264,Abbotsford
ABBOTT,TX,31.88488,-97.07334,358,Abbott
ABERDEEN,MD,39.50956,-76.16412,15580,Aberdeen
ABERDEEN,SD,45.4647,-98.48648,28102,Aberdeen
ABILENE,KS,38.91722,-97.21391,6558,Abilene
ABILENE,TX,32.44874,-99.73314,125182,Abilene
ACCIDENT,MD,39.6287,-79.31976,316,Accident
ACWORTH,GA,34.06635,-84.67837,22131,Acworth
ADA,OK,34.77453,-96.67834,17303,Ada
ADAIRSVILLE,GA,34.3687,-84.93411,4778,Adairsville
ADAMS,MA,42.62425,-73.1176,5515,Adams
ADAMS,WI,43.95608,-89.81818,1893,Adams
ADDISON,IL,41.9317,-87.98896,37208,Addison
ADEL,GA,31.13727,-83.42408,5316,Adel
ADRIAN,MI,41.89755,-84.03717,20691,Adrian
ADRIAN,MN,43.63497,-95.9328,1220,Adrian
AFTON,OK,36.69369,-94.96302,1050,Afton
AHOSKIE,NC,36.28682,-76.98468,4910,Ahoskie
AIKEN,SC,33.56042,-81.71955,30604,Aiken
AINSWORTH,IA,41.28891,-91.55238,571,Ainsworth
AKRON,OH,41.08144,-81.51901,197542,Akron
ALABASTER,AL,33.24428,-86.81638,32707,Alabaster
ALAMOGORDO,NM,32.89953,-105.96027,30753,Alamogordo
ALAMOSA,CO,37.46945,-105.87002,9819,Alamosa
ALBANY,GA,31.57851,-84.15574,74843,Albany
ALBANY,KY,36.6909,-85.13468,2012,Albany
ALBANY,NY,42.65258,-73.75623,101228,Albany
ALBANY,OR,44.63651,-123.10593,52175,Albany
ALBERT LEA,MN,43.64801,-93.36827,17674,Albert Lea
ALBION,MI,42.2431,-84.75303,8229,Albion
ALBUQUERQUE,NM,35.08449,-106.65114,564559,Albuquerque
ALDA,NE,40.87112,-98.46812,655,Alda
ALDEN,MN,43.67023,-93.57605,646,Alden
ALEDO,TX,32.69596,-97.60225,3412,Aledo
ALEXANDER,ND,47.84308,-103.6427,252,Alexander
ALEXANDRIA,LA,31.31129,-92.44514,47889,Alexandria
ALEXANDRIA,MN,45.88524,-95.37754,11843,Alexandria
ALEXANDRIA,MO,40.35949,-91.45543,153,Alexandria
ALEXANDRIA,PA,40.55646,-78.09778,330,Alexandria
ALGODONES,NM,35.38059,-106.47919,814,Algodones
ALGONA,IA,43.06997,-94.23302,5470,Algona
ALICE,TX,27.75225,-98.06972,19408,Alice
ALLEN,OK,34.87898,-96.41251,935,Allen
ALLENTOWN,PA,40.60843,-75.49018,120207,Allentown
ALLIANCE,NE,42.10163,-102.87215,8522,Alliance
ALMA,AR,35.47787,-94.22188,5575,Alma
ALMA,GA,31.53937,-82.46236,3536,Alma
ALMA,KS,39.01667,-96.28916,802,Alma
ALMA,MI,43.37892,-84.65973,9193,Alma
ALMA,NE,40.09751,-99.36204,1146,Alma
ALPHARETTA,GA,34.07538,-84.29409,63693,Alpharetta
ALPINE,WY,43.16353,-111.01802,850,Alpine
ALSIP,IL,41.66892,-87.73866,19346,Alsip
ALTAMONT,IL,39.06199,-88.74811,2308,Altamont
ALTOONA,AL,34.02621,-86.32609,924,Altoona
ALTOONA,IA,41.64416,-93.46466,16984,Altoona
ALTOONA,PA,40.51868,-78.39474,45344,Altoona
ALTOONA,WI,44.80468,-91.44321,7321,Altoona
ALTUS,OK,34.63813,-99.33398,19214,Altus
ALVA,OK,36.80499,-98.66718,5180,Alva
ALVADA,OH,41.05033,-83.40187,0,Alvada
ALVARADO,TX,32.40653,-97.21168,4015,Alvarado
ALVORD,TX,33.35845,-97.69475,1403,Alvord
AMARILLO,TX,35.222,-101.8313,198645,Amarillo
AMELIA COURT HOUSE,VA,37.34293,-77.98056,1099,Amelia Court House
AMERICAN FALLS,ID,42.78602,-112.85444,4321,American Falls
AMERICAN FORK,UT,40.3769,-111.79576,28326,American Fork
AMERICUS,GA,32.07239,-84.23269,16028,Americus
AMERY,WI,45.30691,-92.36214,2834,Amery
AMES,IA,42.03471,-93.61994,65060,Ames
AMHERST,OH,41.39782,-82.22238,12135,Amherst
AMITE,LA,30.72657,-90.50898,4640,Amite
ANADARKO,OK,35.07256,-98.24366,6717,Anadarko
ANAHUAC,TX,29.773,-94.6827,2324,Anahuac
ANAMOSA,IA,42.10834,-91.28516,5469,Anamosa
ANDALUSIA,AL,31.30808,-86.48243,9063,Andalusia
ANDERSON,SC,34.50344,-82.65013,27335,Anderson
ANDOVER,MN,45.2333,-93.29134,32213,Andover
ANDREWS,TX,32.31872,-102.54572,13816,Andrews
ANGOLA,IN,41.63477,-84.99941,8644,Angola
ANKENY,IA,41.72971,-93.60577,56764,Ankeny
ANNA,OH,40.39449,-84.17272,1545,Anna
ANNA,TX,33.349,-96.5486,11463,Anna
ANNAWAN,IL,41.39726,-89.90455,858,Annawan
ANNVILLE,PA,40.32954,-76.51524,4767,Annville
ANOKA,MN,45.19774,-93.38718,17350,Anoka
ANTHONY,TX,31.99927,-106.60555,5517,Anthony
ANTIGO,WI,45.14025,-89.15234,7869,Antigo
ANTIOCH,TN,35.00508,-85.6583,1067,New Hope
APACHE JUNCTION,AZ,33.41505,-111.54958,38074,Apache Junction
APALACHIN,NY,42.06952,-76.15465,1131,Apalachin
APEX,NC,35.73265,-78.85029,45585,Apex
APPLETON,MN,45.19691,-96.01977,1341,Appleton
APPLETON,WI,44.26193,-88.41538,74139,Appleton
ARCADIA,LA,32.54904,-92.92016,2861,Arcadia
ARCADIA,WI,44.25274,-91.50154,2991,Arcadia
ARDMORE,OK,34.17426,-97.14363,25176,Ardmore
ARDMORE,TN,34.99203,-86.84667,1213,Ardmore
ARKADELPHIA,AR,34.12093,-93.05378,10745,Arkadelphia
ARLINGTON,WA,48.19871,-122.12514,18949,Arlington
ARNETT,OK,36.13504,-99.77484,532,Arnett
ARTESIA,NM,32.84233,-104.4033,12036,Artesia
ASH FORK,AZ,35.22501,-112.48407,396,Ash Fork
